32;74
76;67
34;98
47;85
47;95
69;28
72;59
6;62
21;34
92;69
48;83
52;95
24;28
44;15
15;75
55;74
46;42
1;18
12;35
46;53
34;24
10;85
58;24
37;94
28;52
87;68
72;97
90;81
30;34
52;20
25;20
21;12
92;5
3;21
15;20
22;17
8;67
18;45
47;98
19;2
64;14
90;15
67;65
2;42
56;6
64;43
70;23
14;80
90;87
26;66
9;38
32;78
2;77
2;56
95;79
98;77
79;55
57;47
57;73
33;68
73;89
3;50
55;79
7;77
13;45
69;39
17;14
64;96
44;14
2;47
65;93
80;48
69;16
60;12
41;28
19;100
43;70
6;99
23;22
92;83
36;28
60;13
92;79
73;35
58;75
9;57
80;17
2;77
53;88
98;50
70;22
67;2
39;16
35;63
52;69
56;32
39;58
29;65
91;46
56;97
36;34
26;45
47;3
99;86
82;31
3;30
68;59
95;60
9;74
34;27
64;74
57;40
23;55
30;41
3;67
74;70
68;1
69;56
27;58
87;1
8;55
29;27
30;5
90;75
10;47
99;86
45;46
50;51
99;66
33;18
95;28
74;44
1;15
47;22
22;67
58;63
98;30
57;44
94;30
38;35
78;60
19;47
82;10
48;66
30;30
10;12
18;97
83;22
2;47
76;76
64;92
37;34
3;38
73;94
82;77
99;11
27;22
51;100
57;47
3;85
6;34
81;7
25;40
38;36
1;54
8;91
95;97
91;53
56;64
12;13
95;35
26;38
89;42
56;68
97;52
96;17
3;74
16;34
74;100
69;86
100;73
18;81
59;21
42;46
23;4
82;38
49;98
60;26
88;57
89;42
45;87
29;19
12;100
21;27
31;56
80;89
61;88
36;67
33;42
12;71
52;32
40;36
45;74
30;61
75;28
53;73
52;84
40;13
2;76
20;31
36;48
79;5
36;55
61;50
25;14
75;97
96;22
45;87
70;33
74;57
85;65
48;66
31;13
47;63
77;47
73;79
71;78
95;80
77;98
10;89
97;74
5;50
64;2
58;2
37;72
73;37
12;1
74;85
96;68
52;85
71;9
49;70
16;12
73;62
56;6
91;64
84;33
91;45
14;43
39;85
23;83
81;94
70;80
28;1
18;98
18;19
83;88
4;50
66;93
60;5
10;29
96;76
96;87
42;50
5;34
84;24
1;45
21;60
53;20
89;26
46;82
23;5
17;97
74;43
91;78
61;70
53;38
68;60
51;33
91;30
65;100
51;46
67;76
72;28
86;17
67;59
33;48
64;82
73;67
25;66
68;66
40;91
25;21
54;90
81;78
61;3
98;19
12;54
37;82
15;23
11;33
9;66
36;51
8;14
71;2
100;24
34;54
29;46
78;4
17;12
58;35
88;19
57;25
41;15
66;40
40;93
93;20
69;27
63;71
61;23
43;75
73;78
58;66
48;59
76;65
23;6
15;75
21;10
35;98
6;3
23;91
47;6
62;87
30;72
45;70
74;92
16;54
72;60
55;73
63;31
77;88
30;99
65;79
95;62
77;3
27;23
92;73
11;12
54;24
84;67
8;5
17;63
77;79
14;95
38;99
3;34
12;13
72;41
7;31
67;67
94;55
75;52
41;84
86;45
69;66
12;48
23;87
91;18
41;35
51;8
67;46
77;53
95;30
84;79
82;4
43;47
77;41
78;79
71;90
98;51
92;14
18;5
82;91
43;6
94;95
82;51
87;3
46;59
10;27
15;36
51;90
62;64
86;75
13;50
40;60
69;55
87;1
94;79
61;96
36;53
30;31
34;9
7;61
61;7
72;16
61;61
23;34
87;51
23;70
29;65
67;24
50;14
18;98
22;49
98;85
41;85
43;96
74;58
41;66
63;53
44;43
66;47
22;100
8;61
83;35
95;5
18;83
56;38
83;79
64;80
85;40
60;65
97;46
31;22
41;18
46;97
81;63
84;6
21;60
66;86
26;19
30;18
50;8
16;58
92;79
59;69
74;55
60;34
30;81
33;44
45;85
19;81
21;38
16;100
68;15
95;59
75;93
43;84
6;35
54;13
53;51
3;38
66;66
36;13
81;8
49;62
37;54
49;69
53;4
90;74
90;98
54;72
12;64
10;21
69;78
85;34
42;61
70;76
3;35
92;8
79;12
14;55
20;22
30;55
14;23
17;87
87;40
87;50
55;66
59;33
57;28
20;63
97;2
8;92
85;48
70;69
80;10
27;98
44;84
47;92
39;65
19;49
